model,data,fraction,roc,ap
OCSVM,satimage-2,0.19,0.9966,0.9661
OCSVM,satimage-2,0.2,0.9966,0.9661
OCSVM,satimage-2,0.21000000000000002,0.9966,0.9661
OCSVM,satimage-2,0.22,0.9966,0.9661
OCSVM,satimage-2,0.23,0.9966,0.9661
OCSVM,satimage-2,0.24000000000000002,0.9966,0.9661
OCSVM,satimage-2,0.25,0.9966,0.9661
OCSVM,satimage-2,0.26,0.9966,0.9661
OCSVM,satimage-2,0.27,0.9966,0.9661
OCSVM,satimage-2,0.28,0.9966,0.9661
OCSVM,satimage-2,0.29000000000000004,0.9966,0.9661
OCSVM,satimage-2,0.3,0.9966,0.9661
OCSVM,satimage-2,0.31,0.9966,0.9661
OCSVM,satimage-2,0.32,0.9966,0.9661
OCSVM,satimage-2,0.33,0.9966,0.9661
OCSVM,satimage-2,0.34,0.9966,0.9661
OCSVM,satimage-2,0.35000000000000003,0.9966,0.9661
OCSVM,satimage-2,0.36000000000000004,0.9966,0.9661
OCSVM,satimage-2,0.37,0.9966,0.9661
OCSVM,satimage-2,0.38,0.9966,0.9661
OCSVM,satimage-2,0.39,0.9966,0.9661
OCSVM,satimage-2,0.4,0.9966,0.9661
OCSVM,satimage-2,0.41000000000000003,0.9966,0.9661
OCSVM,satimage-2,0.42000000000000004,0.9966,0.9661
OCSVM,satimage-2,0.43,0.9966,0.9661
OCSVM,satimage-2,0.44,0.9966,0.9661
OCSVM,satimage-2,0.45,0.9966,0.9661
OCSVM,satimage-2,0.46,0.9966,0.9661
OCSVM,satimage-2,0.47000000000000003,0.9966,0.9661
OCSVM,satimage-2,0.48000000000000004,0.9966,0.9661
OCSVM,satimage-2,0.49,0.9966,0.9661
OCSVM,satimage-2,0.5,0.9966,0.9661
OCSVM,satimage-2,0.51,0.9966,0.9661
OCSVM,satimage-2,0.52,0.9966,0.9661
OCSVM,satimage-2,0.53,0.9966,0.9661
OCSVM,satimage-2,0.54,0.9966,0.9661
OCSVM,satimage-2,0.55,0.9966,0.9661
OCSVM,satimage-2,0.56,0.9966,0.9661
OCSVM,satimage-2,0.5700000000000001,0.9966,0.9661
OCSVM,satimage-2,0.5800000000000001,0.9966,0.9661
OCSVM,satimage-2,0.59,0.9966,0.9661
OCSVM,satimage-2,0.6,0.9966,0.9661
OCSVM,satimage-2,0.61,0.9966,0.9661
OCSVM,satimage-2,0.62,0.9966,0.9661
OCSVM,satimage-2,0.63,0.9966,0.9661
OCSVM,satimage-2,0.64,0.9966,0.9661
OCSVM,satimage-2,0.65,0.9966,0.9661
OCSVM,satimage-2,0.66,0.9966,0.9661
OCSVM,satimage-2,0.67,0.9966,0.9661
OCSVM,satimage-2,0.68,0.9966,0.9661
OCSVM,satimage-2,0.6900000000000001,0.9966,0.9661
OCSVM,satimage-2,0.7000000000000001,0.9966,0.9661
OCSVM,satimage-2,0.7100000000000001,0.9966,0.9661
OCSVM,satimage-2,0.72,0.9966,0.9661
OCSVM,satimage-2,0.73,0.9966,0.9661
OCSVM,satimage-2,0.74,0.9966,0.9661
OCSVM,satimage-2,0.75,0.9966,0.9661
OCSVM,satimage-2,0.76,0.9966,0.9661
OCSVM,satimage-2,0.77,0.9966,0.9661
OCSVM,satimage-2,0.78,0.9966,0.9661
OCSVM,satimage-2,0.79,0.9966,0.9661
OCSVM,satimage-2,0.8,0.9966,0.9661
OCSVM,satimage-2,0.81,0.9966,0.9661
OCSVM,satimage-2,0.8200000000000001,0.9966,0.9661
OCSVM,satimage-2,0.8300000000000001,0.9966,0.9661
